# Name,X,Y,PHASE,MAG
FE_MEBT:BPM_D1056,FE_MEBT:BPM_D1056:XPOS_RD,FE_MEBT:BPM_D1056:YPOS_RD,FE_MEBT:BPM_D1056:PHASE_RD,FE_MEBT:BPM_D1056:MAG_RD
LS1_CB07:BPM_D1654,LS1_CB07:BPM_D1654:XPOS_RD,LS1_CB07:BPM_D1654:YPOS_RD,LS1_CB07:BPM_D1654:PHASE_RD,LS1_CB07:BPM_D1654:MAG_RD
LS1_WB07:BPM_D1668,LS1_WB07:BPM_D1668:XPOS_RD,LS1_WB07:BPM_D1668:YPOS_RD,LS1_WB07:BPM_D1668:PHASE_RD,LS1_WB07:BPM_D1668:MAG_RD
LS1_CB08:BPM_D1677,LS1_CB08:BPM_D1677:XPOS_RD,LS1_CB08:BPM_D1677:YPOS_RD,LS1_CB08:BPM_D1677:PHASE_RD,LS1_CB08:BPM_D1677:MAG_RD
LS1_CB08:BPM_D1697,LS1_CB08:BPM_D1697:XPOS_RD,LS1_CB08:BPM_D1697:YPOS_RD,LS1_CB08:BPM_D1697:PHASE_RD,LS1_CB08:BPM_D1697:MAG_RD
LS1_CB08:BPM_D1717,LS1_CB08:BPM_D1717:XPOS_RD,LS1_CB08:BPM_D1717:YPOS_RD,LS1_CB08:BPM_D1717:PHASE_RD,LS1_CB08:BPM_D1717:MAG_RD
LS1_WB08:BPM_D1732,LS1_WB08:BPM_D1732:XPOS_RD,LS1_WB08:BPM_D1732:YPOS_RD,LS1_WB08:BPM_D1732:PHASE_RD,LS1_WB08:BPM_D1732:MAG_RD
LS1_CB09:BPM_D1741,LS1_CB09:BPM_D1741:XPOS_RD,LS1_CB09:BPM_D1741:YPOS_RD,LS1_CB09:BPM_D1741:PHASE_RD,LS1_CB09:BPM_D1741:MAG_RD
LS1_CB09:BPM_D1761,LS1_CB09:BPM_D1761:XPOS_RD,LS1_CB09:BPM_D1761:YPOS_RD,LS1_CB09:BPM_D1761:PHASE_RD,LS1_CB09:BPM_D1761:MAG_RD
LS1_CB09:BPM_D1781,LS1_CB09:BPM_D1781:XPOS_RD,LS1_CB09:BPM_D1781:YPOS_RD,LS1_CB09:BPM_D1781:PHASE_RD,LS1_CB09:BPM_D1781:MAG_RD
LS1_WB09:BPM_D1796,LS1_WB09:BPM_D1796:XPOS_RD,LS1_WB09:BPM_D1796:YPOS_RD,LS1_WB09:BPM_D1796:PHASE_RD,LS1_WB09:BPM_D1796:MAG_RD
LS1_CB10:BPM_D1805,LS1_CB10:BPM_D1805:XPOS_RD,LS1_CB10:BPM_D1805:YPOS_RD,LS1_CB10:BPM_D1805:PHASE_RD,LS1_CB10:BPM_D1805:MAG_RD
LS1_CB10:BPM_D1825,LS1_CB10:BPM_D1825:XPOS_RD,LS1_CB10:BPM_D1825:YPOS_RD,LS1_CB10:BPM_D1825:PHASE_RD,LS1_CB10:BPM_D1825:MAG_RD
LS1_CB10:BPM_D1845,LS1_CB10:BPM_D1845:XPOS_RD,LS1_CB10:BPM_D1845:YPOS_RD,LS1_CB10:BPM_D1845:PHASE_RD,LS1_CB10:BPM_D1845:MAG_RD
LS1_WB10:BPM_D1859,LS1_WB10:BPM_D1859:XPOS_RD,LS1_WB10:BPM_D1859:YPOS_RD,LS1_WB10:BPM_D1859:PHASE_RD,LS1_WB10:BPM_D1859:MAG_RD
LS1_CB11:BPM_D1869,LS1_CB11:BPM_D1869:XPOS_RD,LS1_CB11:BPM_D1869:YPOS_RD,LS1_CB11:BPM_D1869:PHASE_RD,LS1_CB11:BPM_D1869:MAG_RD
